Item,Quantity,Cost,Source

MKS-Base v1.6,1,34.99,https://www.amazon.com/BIQU-MKS-Base-Plate-Controller-Printer/dp/B076S2SDQ9
Smart Display,1,10.99,https://www.amazon.com/BIQU-Display-Controller-2004LCD-Adapter/dp/B01FLU9X5Q
NEMA 17,1,9.99,https://www.amazon.com/UsongShine-Nema17-Stepper-17HS4401S-Printer/dp/B0787BQ4WH/ref=sr_1_4?keywords=nema%2B17&qid=1557784415&s=gateway&sr=8-4&th=1
Power Supply 12V 5A,1,7.95,https://www.ebay.com/itm/AC100-240V-To-DC-12V-1-2-3-5-6-8A-US-Power-Supply-Adapter-Transformer-LED-Strip/202127822979?hash=item2f0fc1d083:m:m_lLzEq4BMiZQ1TI0L9-GvQ
TOTAL,,63.92,
